"Term","Estimate","SE","z","p","CI_low","CI_high","OR","OR_low","OR_high"
"(Intercept)",-2.13935906287088,0.213815657177538,-10.0056239618341,1.43981151522032e-23,-2.55843005026962,-1.72028807547214,0.117730276550585,0.0774262003177173,0.179014570775799
"k_social",0.249429698925799,0.270963780825453,0.92052782171088,0.357297001035392,-0.281649552606895,0.780508950458492,1.28329334438396,0.754538064102381,2.18258280938985
"k_no_social",-0.193102238260831,0.257112654489982,-0.751041362175953,0.452627763463076,-0.697033781030686,0.310829304509024,0.824397684844854,0.498060471292711,1.36455627770174
"Block",0.258847110717182,0.0190792446907963,13.5669474820483,6.28869135893805e-42,0.221452478270994,0.296241743163369,1.29543573144687,1.24788794501893,1.34479521258924
"k_social:k_no_social",0.190519436274497,0.196978454697867,0.967209518252761,0.33343930491068,-0.195551240663677,0.576590113212671,1.20987788892771,0.822381203125896,1.77995861353859
"k_social:Block",-0.0940712387598,0.0252028882231922,-3.7325578690316,0.000189545131611124,-0.143467991983646,-0.0446744855359546,0.910217917135487,0.866348529841369,0.956308723495111
"k_no_social:Block",-0.00410174249726789,0.0246276323267102,-0.166550419579688,0.867723808105906,-0.0523710148821143,0.0441675298875785,0.995906658158788,0.948976717035719,1.04515743533007
"k_social:k_no_social:Block",0.038230594972512,0.0175752819718067,2.17524788699489,0.0296115454163361,0.00378367528963473,0.0726775146553892,1.03897078669748,1.0037908424255,1.07538368551205
