"Term","Estimate","SE","z","p","CI_low","CI_high","OR","OR_low","OR_high"
"(Intercept)",-0.904272693069601,0.141388967760743,-6.39563826931533,1.59878089495101e-10,-1.18138997769195,-0.627155408447249,0.404836218241982,0.306851924708877,0.534108963976554
"k_social",0.617171550515417,0.17721054328885,3.48270220869104,0.000496380189647983,0.269845267988495,0.964497833042339,1.85367758660857,1.30976177297956,2.62346990573575
"k_no_social",0.382851048748448,0.167851383015098,2.28089302495655,0.0225547777993649,0.0538683832836175,0.711833714213279,1.4664595828096,1.05534569187921,2.03772443907435
"MGGain",0.298113648184912,0.00933406503378929,31.9382441739737,7.86770888228843e-224,0.279819216889331,0.316408079480494,1.34731489907177,1.32289063443446,1.37219010401174
"k_social:k_no_social",-0.361664746638315,0.1303607319534,-2.77433810948221,0.00553141568316261,-0.617167086265259,-0.10616240701137,0.69651583797991,0.539470548429999,0.899278587067864
"k_social:MGGain",-0.108351868554132,0.0114832726516203,-9.43562622270784,3.88665581966414e-21,-0.130858669375962,-0.0858450677323027,0.897311805067713,0.877341760887854,0.917736407188758
"k_no_social:MGGain",-0.0532946381612126,0.0112001873432137,-4.75837024221779,1.95162285482636e-06,-0.0752466019740128,-0.0313426743484123,0.948100624700462,0.927514731160344,0.969143415579898
"k_social:k_no_social:MGGain",0.0841325451708173,0.00879988865837332,9.56063746224368,1.17033595523606e-21,0.0668850803324431,0.101380010009192,1.08777306332062,1.0691726021543,1.10669711784773
