"Term","Estimate","SE","z","p","CI_low","CI_high","OR","OR_low","OR_high"
"(Intercept)",-1.1805629143995,0.0877795219843055,-13.4491836787466,3.11289801981857e-41,-1.35260761606888,-1.00851821273012,0.307105815649488,0.258565142183953,0.3647590746731
"s",-0.499770641089394,0.0884758351957731,-5.64866824917263,1.61695550973756e-08,-0.673180091575211,-0.326361190603578,0.606669788878641,0.510083882358691,0.7215445252576
"MGGain",0.363221489328302,0.00630256092572647,57.6307779660909,0,0.350868696903509,0.375574281753095,1.43795431550805,1.4203008237722,1.45582722961221
"s:MGGain",0.0816740198728248,0.00680406152550133,12.0037156581718,3.39696373301885e-33,0.0683383043342475,0.0950097354114021,1.08510203047227,1.07072747896033,1.09966956080957
