"Term","Estimate","SE","z","p","CI_low","CI_high","OR","OR_low","OR_high"
"(Intercept)",1.54642319847981,0.12719665600941,12.1577346999233,5.21857871401332e-34,1.29712233374744,1.79572406321219,4.69464829109712,3.65875283452063,6.0238347802985
"k_social",-0.217603841718573,0.159211562860596,-1.36675903313068,0.171700847472528,-0.529652770847677,0.0944450874105308,0.804444065728195,0.588809385970624,1.09904880985983
"k_no_social",-0.0759281497579653,0.15132612007929,-0.501751777671835,0.615842137763676,-0.372521895033557,0.220665595517626,0.926882800920527,0.688994565833591,1.24690638975196
"MGLoss",0.318254727052345,0.0170231673402415,18.6953885074028,5.39758906681115e-78,0.284889932162673,0.351619521942016,1.37472639663398,1.32961567214557,1.42136762163206
"k_social:k_no_social",0.242040750248761,0.117533654788586,2.05933143731583,0.0394624988708178,0.0116790198917693,0.472402480605753,1.27384610130406,1.01174748592369,1.60384276944962
"k_social:MGLoss",-0.0988220207211258,0.0212142985378742,-4.65827425520093,3.18871219553682e-06,-0.14040128181264,-0.0572427596296118,0.905903925803855,0.869009447736025,0.944364787891379
"k_no_social:MGLoss",-0.068332813282171,0.0203523856969398,-3.35748419372995,0.000786552404750363,-0.108222756247641,-0.0284428703167008,0.933949591018392,0.897427666543917,0.971957820202477
"k_social:k_no_social:MGLoss",0.0682880234927073,0.0157646495592839,4.33171845881546,1.4795005127695e-05,0.0373898781276155,0.099186168857799,1.07067364323509,1.03809767352765,1.10427186145482
