"Term","Estimate","SE","z","p","CI_low","CI_high","OR","OR_low","OR_high"
"(Intercept)",-0.265276756650455,0.0917648388212445,-2.89083226274943,0.00384223134636736,-0.445132535787217,-0.0854209775136925,0.766993650006001,0.640739349510453,0.918125692762577
"s",-0.370051781279615,0.0920874096581142,-4.0184839887828,5.85737885611835e-05,-0.550539787639105,-0.189563774920125,0.690698564455858,0.576638464042472,0.827319952951048
"MGValue",0.422555269506434,0.00667713364065502,63.2839317358611,0,0.409468328050789,0.435642210962078,1.52585555055614,1.5060168652961,1.54595556983037
"s:MGValue",0.136446191509735,0.00772281252467925,17.6679404133796,7.40515178523589e-70,0.121309757102008,0.151582625917461,1.14619320119071,1.12897456610052,1.16367444750641
