"Term","Estimate","SE","z","p","CI_low","CI_high","OR","OR_low","OR_high"
"(Intercept)",1.75971134348151,0.0794195418428628,22.1571580828711,8.89927115141745e-109,1.60405190180083,1.91537078516219,5.81075983859073,4.9731423395823,6.78945575979934
"s",0.226403676603114,0.0800661203041651,2.82770884542704,0.00468824241551256,0.0694769644250988,0.383330388781128,1.25408180659632,1.07194736799648,1.46716268409278
"MGLoss",0.378665473667259,0.0107345580618219,35.2753668559497,1.40159883498891e-272,0.357626126476134,0.399704820858384,1.46033443370018,1.42993090722139,1.49138440709307
"s:MGLoss",0.109116782195035,0.0111043757849013,9.82646699901872,8.66037940960314e-23,0.0873526055858302,0.130880958804241,1.11529258905317,1.09128140380505,1.13983208626099
