"Term","Estimate","SE","z","p","CI_low","CI_high","OR","OR_low","OR_high"
"(Intercept)",-0.155135570135837,0.150575102937504,-1.03028699372848,0.302875302732384,-0.450257348861755,0.139986208590081,0.856299081031453,0.637464079855477,1.15025793506914
"k_social",0.388580867483586,0.188875929707398,2.05733397625397,0.0396541112750216,0.0183908477105681,0.758770887256605,1.47488624898184,1.01856100083651,2.1356496524501
"k_no_social",0.294790857167461,0.178716642412254,1.64948744106021,0.0990478140078822,-0.0554873253984798,0.645069039733402,1.34284548280778,0.946024014071855,1.90611862265083
"MGValue",0.34250536125576,0.00905504943365505,37.8247919865313,4.44702728844318e-313,0.324757790487566,0.360252932023954,1.4084719048201,1.38369546118691,1.43369199532237
"k_social:k_no_social",-0.175560479197293,0.138835042495006,-1.26452569929244,0.206041402550909,-0.447672162279592,0.0965512038850063,0.83898665439964,0.639114175424801,1.1013659739167
"k_social:MGValue",-0.144563912672933,0.0109601535791439,-13.1899531908041,1.00247471560976e-39,-0.166045418953082,-0.123082406392783,0.865399600633933,0.847007763109895,0.884190796584473
"k_no_social:MGValue",-0.0895671902563974,0.0108063883374532,-8.28835568919652,1.1482476681805e-16,-0.110747322200759,-0.0683870583120354,0.914326829206295,0.895164908654133,0.933898930268994
"k_social:k_no_social:MGValue",0.11634782601692,0.00862265674282752,13.4932688946131,1.71332302526575e-41,0.0994477293499269,0.133247922683914,1.12338654725402,1.10456073312341,1.14253322312366
