Unnamed: 0,ID,X,UniBinChoice,SGTBinChoice,SGTFreqVsValue,MGBinChoice,MGGain,MGLoss,MGValue,SGTReward,UniReward,Block,IUSScore,BaseCorona,Between,MGLA,MGLogLA,CoronaLA,CoronaLogLA,TotalLives,TotalUnemployment,k_social,k_no_social,s,c_score
1,1,0,a,a,a,b,70,-20,50,200,-22,1,,0.69047619047619,0,,,,,89600.0,388,410.928280743298,428.467703144053,0.210152415635698,1.93003941962915
2,1,1,a,d,b,a,100,-30,70,-100,-21,1,,0.69047619047619,0,,,,,89600.0,388,410.928280743298,428.467703144053,0.210152415635698,1.93003941962915
3,1,2,b,c,b,a,30,-45,-15,-200,19,1,,0.69047619047619,0,,,,,89600.0,388,410.928280743298,428.467703144053,0.210152415635698,1.93003941962915
4,1,3,b,b,a,a,80,-5,75,100,18,1,,0.69047619047619,0,,,,,89600.0,388,410.928280743298,428.467703144053,0.210152415635698,1.93003941962915
5,1,4,a,d,b,a,10,-30,-20,-100,54,1,,0.69047619047619,0,,,,,89600.0,388,410.928280743298,428.467703144053,0.210152415635698,1.93003941962915
6,1,5,a,c,b,a,60,-40,20,-200,79,1,,0.69047619047619,0,,,,,89600.0,388,410.928280743298,428.467703144053,0.210152415635698,1.93003941962915
7,1,6,a,d,b,a,50,-15,35,-100,82,1,,0.69047619047619,0,,,,,89600.0,388,410.928280743298,428.467703144053,0.210152415635698,1.93003941962915
8,1,7,a,c,b,a,20,-45,-25,-200,42,1,,0.69047619047619,0,,,,,89600.0,388,410.928280743298,428.467703144053,0.210152415635698,1.93003941962915
9,1,8,a,c,b,a,40,-20,20,-200,8,1,,0.69047619047619,0,,,,,89600.0,388,410.928280743298,428.467703144053,0.210152415635698,1.93003941962915
10,1,9,a,c,b,a,50,-50,0,1050,9,1,,0.69047619047619,0,,,,,89600.0,388,410.928280743298,428.467703144053,0.210152415635698,1.93003941962915
