"Participant","AIC","BIC"
1,141.885952152737,154.040036146953
2,124.362729392101,136.516813386317
3,10.9330793932871,23.0871633875037
4,10.9594680965668,23.1135520907833
5,134.734299835125,146.888383829342
6,101.065894742909,113.219978737125
7,16.2950470172988,28.4491310115154
8,65.8129210937634,77.9670050879799
9,10.9412670621133,23.0953510563299
10,10.9527478013383,23.1068317955549
11,41.5009538665177,53.6550378607343
12,24.8451886712449,36.9992726654615
13,10.9315666730483,23.0856506672648
14,10.9637957491497,23.1178797433662
15,117.634508592519,129.788592586736
16,138.712786217193,150.86687021141
17,102.108886894366,114.262970888582
18,120.842169830276,132.996253824493
19,56.5289128922091,68.6829968864257
20,61.3773242485239,73.5314082427405
21,61.1540188040427,73.3081027982592
22,133.671852712468,145.825936706684
23,140.239798302176,152.393882296393
24,134.533090566082,146.687174560299
25,130.186856064745,142.340940058961
26,33.9009998675004,46.055083861717
27,57.1403643091303,69.2944483033468
28,130.511724044742,142.665808038958
29,128.79240676458,140.946490758797
30,16.315828490422,28.4699124846386
31,129.012991251645,141.167075245861
32,64.5649973733418,76.7190813675584
33,59.0159755441304,71.170059538347
34,62.887787295586,75.0418712898026
35,90.6597527056957,102.813836699912
36,98.0086803576474,110.162764351864
37,114.539596814825,126.693680809041
38,47.7469809707468,59.9010649649634
39,10.9384481494456,23.0925321436621
40,134.917736964123,147.071820958339
41,62.8207395207528,74.9748235149693
42,120.313059392727,132.467143386944
43,124.195226424845,136.349310419061
44,10.9528054255932,23.1068894198098
45,86.6018575455845,98.7559415398011
46,60.9679615993781,73.1220455935946
47,119.707766158792,131.861850153009
48,10.9441572274306,23.0982412216472
49,61.1930051123241,73.3470891065407
50,36.4763659656767,48.6304499598932
51,37.4816274982217,49.6357114924382
52,50.5356824344019,62.6897664286185
53,143.483723691481,155.637807685698
54,133.39288094543,145.546964939647
55,134.386115845974,146.540199840191
56,143.07387883999,155.227962834206
57,111.444565433306,123.598649427522
58,115.211768322456,127.365852316672
59,65.6425018736152,77.7965858678318
60,72.6810094018017,84.8350933960183
61,32.6824187882299,44.8365027824465
62,10.9574561443014,23.111540138518
63,146.007498610144,158.161582604361
64,90.5530462083554,102.707130202572
65,116.431511800598,128.585595794815
66,43.7839432637872,55.9380272580037
67,10.9447362613551,23.0988202555716
68,10.94703125521,23.1011152494266
69,10.9338260182126,23.0879100124292
70,77.6775633798028,89.8316473740194
71,42.7417570420544,54.895841036271
72,17.069712615005,29.2237966092216
73,56.561230711484,68.7153147057005
74,55.5679697732294,67.7220537674459
75,112.342318977233,124.49640297145
76,33.1567882317798,45.3108722259964
77,71.6620504122693,83.8161344064859
78,10.9365053449133,23.0905893391298
79,16.2843286973497,28.4384126915662
80,41.4849215741038,53.6390055683203
81,41.4892647003887,53.6433486946053
82,10.9662798355595,23.120363829776
83,10.927905973424,23.0819899676405
84,16.2950012728758,28.4490852670924
85,10.9671816244894,23.1212656187059
86,24.7857002314689,36.9397842256855
87,48.5608992893083,60.7149832835249
88,10.9543003015535,23.1083842957701
89,66.8654332445528,79.0195172387694
90,53.6677306687754,65.821814662992
91,41.5083605860281,53.6624445802447
92,143.200791601186,155.354875595403
93,41.5169080768505,53.670992071067
94,136.331654855308,148.485738849524
95,36.6704387861567,48.8245227803733
96,10.9595805098241,23.1136645040406
97,29.05639207873,41.2104760729466
98,75.1159090324546,87.2699930266712
99,89.6614767952717,101.815560789488
100,10.9592821036311,23.1133660978477
101,10.9590777435986,23.1131617378151
102,10.9379859548603,23.0920699490769
103,150.813057933679,162.967141927895
104,18.9239639972133,31.0780479914299
105,23.2700994464315,35.4241834406481
106,41.5083247786088,53.6624087728254
107,42.0214374543037,54.1755214485203
108,10.969347962525,23.1234319567415
109,130.035083958425,142.189167952642
110,47.3386547604702,59.4927387546868
111,41.4772162508181,53.6313002450347
112,41.5030856793849,53.6571696736014
113,36.1640083721856,48.3180923664021
114,85.7547410333591,97.9088250275756
115,42.8871633122836,55.0412473065001
116,10.9381408762709,23.0922248704875
117,115.647737244974,127.801821239191
118,33.1282532557779,45.2823372499945
119,112.011365714369,124.165449708585
120,65.4598572772759,77.6139412714925
121,74.7636079769275,86.917691971144
122,10.9650820538097,23.1191660480262
123,59.678459518646,71.8325435128625
124,139.717729678567,151.871813672784
125,142.353115730321,154.507199724538
126,24.3825886182073,36.5366726124239
127,39.3556792874505,51.5097632816671
128,54.9425484461386,67.0966324403552
129,34.9724445034469,47.1265284976635
130,38.1861913554595,50.3402753496761
131,51.7688377588731,63.9229217530897
132,24.8570777068397,37.0111617010563
133,111.093631448159,123.247715442376
134,129.288183497002,141.442267491219
135,102.084220605705,114.238304599922
136,92.8246010213796,104.978685015596
137,106.437428889306,118.591512883522
138,129.915654764263,142.069738758479
139,85.7828482248741,97.9369322190907
140,62.5143542775552,74.6684382717717
141,135.138079380788,147.292163375004
142,55.3287443016762,67.4828282958928
143,10.9463591838683,23.1004431780848
144,92.2300865305132,104.38417052473
145,84.4413949430412,96.5954789372578
146,134.287963043705,146.442047037922
147,72.9665546619647,85.1206386561813
148,139.244906685958,151.398990680174
149,40.0010098861146,52.1550938803312
150,110.767731698716,122.921815692933
151,123.392351637719,135.546435631935
152,44.0502318800068,56.2043158742234
153,134.241584302054,146.395668296271
154,10.9561864218365,23.110270416053
155,41.510285946021,53.6643699402376
156,34.0924396084449,46.2465236026615
157,53.5815164018471,65.7356003960636
158,109.385250877486,121.539334871703
159,133.755446812563,145.909530806779
160,10.9417232190229,23.0958072132394
161,106.82788100497,118.981964999187
162,10.9404608929225,23.094544887139
163,74.6667023839919,86.8207863782085
164,108.722341328687,120.876425322904
165,103.662940672913,115.817024667129
166,74.4068392647576,86.5609232589741
167,32.9064452711658,45.0605292653823
168,16.3251454792561,28.4792294734726
169,111.028021232348,123.182105226564
170,55.7124629101814,67.866546904398
171,26.7712683534473,38.9253523476639
172,10.9460999825189,23.1001839767355
173,46.8754218747214,59.029505868938
174,58.6841142535731,70.8381982477897
175,75.6990830566202,87.8531670508367
176,97.2970495692125,109.451133563429
177,64.6149513647646,76.7690353589812
178,46.6492203719805,58.803304366197
179,45.7453130789886,57.8993970732052
180,85.7703254130138,97.9244094072304
181,46.9852969937846,59.1393809880012
182,67.0554148884108,79.2094988826273
183,121.619404946363,133.77348894058
184,41.523172903501,53.6772568977175
185,64.288614763868,76.4426987580846
186,108.888626360279,121.042710354496
187,77.0159342021149,89.1700181963314
188,10.9473342634191,23.1014182576357
189,103.064869454586,115.218953448803
190,10.9351388289166,23.0892228231332
191,105.630863851894,117.784947846111
192,132.131077409025,144.285161403242
193,140.978104408987,153.132188403203
194,93.8434075283184,105.997491522535
195,10.9483242671995,23.1024082614161
196,41.1486930912635,53.3027770854801
197,44.4331414088023,56.5872254030188
198,124.674749449687,136.828833443904
199,72.9098736471594,85.0639576413759
200,31.1981382883131,43.3522222825297
201,41.4964538250396,53.6505378192562
202,30.7931835299734,42.94726752419
203,59.4719185555045,71.6260025497211
204,10.9252629877454,23.0793469819619
205,10.9487754498936,23.1028594441101
206,41.5824001687924,53.736484163009
207,109.773109480541,121.927193474758
208,130.065166854635,142.219250848852
209,34.9441723454764,47.0982563396929
210,73.2964527360349,85.4505367302514
211,64.1735619741787,76.3276459683952
212,61.3013294584173,73.4554134526339
213,48.4832776538849,60.6373616481015
214,77.9247175457093,90.0788015399259
215,16.2572159606297,28.4112999548462
216,86.0165733325029,98.1706573267194
217,132.244040248541,144.398124242757
218,61.2330231140559,73.3871071082724
219,24.833133498748,36.9872174929646
220,81.2233724588215,93.3774564530381
221,43.6005072902528,55.7545912844694
222,126.135930368203,138.290014362419
223,44.8734351984127,57.0275191926293
224,10.9498422099779,23.1039262041945
225,94.1699642614578,106.324048255674
226,64.2696537630372,76.4237377572538
227,10.9557082173209,23.1097922115375
228,34.6073495080048,46.7614335022214
229,24.431484630311,36.5855686245276
230,56.745891932893,68.8999759271096
231,10.9629739790518,23.1170579732684
232,10.9294373858858,23.0835213801024
233,10.9361467120428,23.0902307062593
234,10.9316548784515,23.085738872668
235,41.7627615297437,53.9168455239603
236,75.8041904264583,87.9582744206748
237,70.0015065023154,82.155590496532
238,19.4311788986771,31.5852628928936
239,60.8209498746121,72.9750338688287
240,10.959599205172,23.1136831993885
241,10.9551844973115,23.1092684915281
242,28.9452647259783,41.0993487201948
243,18.4115736382903,30.5656576325068
