"Participant","AIC","BIC"
1,140.208450055409,149.931717250782
2,123.557973571749,133.281240767123
3,8.90941278760959,18.6326799829828
4,8.92451080867487,18.6477780040481
5,130.912297902823,140.635565098196
6,98.6111089402171,108.33437613559
7,14.7399133056968,24.4631805010701
8,63.6790433525163,73.4023105478896
9,8.91034260877518,18.6336098041484
10,8.89285525839395,18.6161224537672
11,37.7747275522771,47.4979947476503
12,23.2771847814722,33.0004519768455
13,8.90564705905073,18.628914254424
14,8.91025541366134,18.6335226090346
15,116.570474539668,126.293741735041
16,136.323318419179,146.046585614552
17,98.8903084744969,108.61357566987
18,117.877965011669,127.601232207042
19,52.5031618897062,62.2264290850795
20,57.0946460832694,66.8179132786427
21,64.5473513237842,74.2706185191575
22,131.06218343226,140.785450627634
23,137.587315098066,147.310582293439
24,133.515113939797,143.238381135171
25,126.491865798356,136.215132993729
26,33.6513528756213,43.3746200709946
27,56.6576035045913,66.3808706999645
28,129.316584662001,139.039851857374
29,126.008622261934,135.731889457307
30,14.7215063547593,24.4447735501325
31,125.243994221421,134.967261416794
32,64.528591719972,74.2518589153453
33,54.7661329658667,64.4894001612399
34,68.2570028855159,77.9802700808892
35,119.037593853724,128.760861049097
36,94.5344395864511,104.257706781824
37,115.164464623501,124.887731818874
38,47.332489719441,57.0557569148143
39,8.91740235423314,18.6406695496064
40,131.216477050208,140.939744245581
41,61.9704410854025,71.6937082807758
42,119.175154394323,128.898421589696
43,121.090481772194,130.813748967567
44,8.90298449973031,18.6262516951036
45,84.5685669299298,94.291834125303
46,56.8724075194022,66.5956747147754
47,116.882228872306,126.60549606768
48,8.91680599321826,18.6400731885915
49,58.8564103242441,68.5796775196174
50,34.2954420852696,44.0187092806428
51,35.5613454482752,45.2846126436485
52,47.065660330031,56.7889275254042
53,139.547039518135,149.270306713508
54,130.01245944805,139.735726643424
55,132.348612077323,142.071879272696
56,140.801325445662,150.524592641035
57,109.801393124066,119.524660319439
58,117.570839455055,127.294106650429
59,62.2882152248523,72.0114824202256
60,83.5963005272334,93.3195677226067
61,30.9744983928065,40.6977655881798
62,8.89581271826187,18.6190799136351
63,142.107386361638,151.830653557011
64,87.1199696281967,96.84323682357
65,114.95108323345,124.674350428823
66,41.6510699451942,51.3743371405674
67,8.91928420761731,18.6425514029906
68,8.92030543069719,18.6435726260704
69,8.87055680919253,18.5938240045658
70,81.1413336971272,90.8646008925004
71,40.9129923500912,50.6362595454644
72,15.208055909058,24.9313231044313
73,52.2857220278084,62.0089892231816
74,54.1205206864969,63.8437878818701
75,109.989371907994,119.712639103367
76,33.3006974050519,43.0239646004251
77,69.2888756857912,79.0121428811645
78,8.8837805417175,18.6070477370908
79,14.7251369088864,24.4484041042597
80,37.7556931053685,47.4789603007418
81,37.7561220349462,47.4793892303195
82,8.8995035636097,18.6227707589829
83,8.92229224778311,18.6455594431564
84,14.7720231463126,24.4952903416859
85,8.91210971126472,18.635376906638
86,23.2144000150019,32.9376672103752
87,46.0198635498494,55.7431307452226
88,8.89747565911765,18.6207428544909
89,63.1047146412563,72.8279818366296
90,50.0903096516253,59.8135768469986
91,37.7788975773612,47.5021647727344
92,140.175103802901,149.898370998274
93,37.7615583545334,47.4848255499066
94,133.621463538524,143.344730733898
95,36.2976617416214,46.0209289369946
96,8.91771151902623,18.6409787143995
97,26.8565319957387,36.579799191112
98,74.7465817827185,84.4698489780917
99,94.3731378689136,104.096405064287
100,8.89252755695473,18.615794752328
101,8.92806151515217,18.6513287105254
102,8.89999424617335,18.6232614415466
103,149.798098488295,159.521365683669
104,17.104220895855,26.8274880912282
105,21.8143714254311,31.5376386208044
106,37.7518288709397,47.4750960663129
107,39.6506969923884,49.3739641877616
108,8.9033864701994,18.6266536655727
109,127.71002104471,137.433288240083
110,45.6791821891837,55.4024493845569
111,37.7567992069957,47.480066402369
112,37.7609219224182,47.4841891177914
113,34.2322412742517,43.955508469625
114,104.271905449726,113.995172645099
115,42.8943206979303,52.6175878933036
116,8.9119665743718,18.6352337697451
117,113.400560734424,123.123827929797
118,30.5611171984049,40.2843843937781
119,109.736831765224,119.460098960597
120,63.005419391669,72.7286865870423
121,72.3890843574626,82.1123515528358
122,8.89670589812523,18.6199730934985
123,56.2288050950509,65.9520722904242
124,136.902088886322,146.625356081695
125,140.40424156309,150.127508758463
126,22.1034557580531,31.8267229534263
127,38.3124015540344,48.0356687494077
128,50.7468807288004,60.4701479241737
129,33.1885097680541,42.9117769634273
130,36.413735903827,46.1370030992003
131,49.6779350989473,59.4012022943206
132,24.1345977042905,33.8578648996638
133,111.637693230477,121.36096042585
134,126.744714878205,136.467982073579
135,99.0993861694049,108.822653364778
136,92.1823344161166,101.90560161149
137,104.774148617731,114.497415813104
138,128.275575147755,137.998842343128
139,83.714796052499,93.4380632478722
140,58.6153775944496,68.3386447898228
141,132.642670274811,142.365937470184
142,52.287199021739,62.0104662171123
143,8.89240467460505,18.6156718699783
144,97.6083795830416,107.331646778415
145,85.5082989637685,95.2315661591418
146,130.800234270648,140.523501466021
147,70.0965804076712,79.8198476030445
148,136.627395111508,146.350662306882
149,37.7793705758925,47.5026377712657
150,109.296251893415,119.019519088788
151,123.940165491799,133.663432687172
152,42.1486023113081,51.8718695066813
153,134.059641999806,143.78290919518
154,8.91378782139079,18.637055016764
155,37.7709195676357,47.4941867630089
156,33.5956774581084,43.3189446534816
157,51.4133235091576,61.1365907045309
158,106.916258929808,116.639526125182
159,130.099723307669,139.822990503043
160,8.93316733923791,18.6564345346112
161,104.07055074168,113.793817937053
162,8.91580091286404,18.6390681082373
163,72.9630782912363,82.6863454866096
164,106.034714471184,115.757981666557
165,101.061973319473,110.785240514846
166,71.3668977144069,81.0901649097802
167,31.9808086378374,41.7040758332107
168,14.7587209440319,24.4819881394051
169,116.247871365847,125.97113856122
170,53.5216393684236,63.2449065637969
171,24.5463923962963,34.2696595916695
172,8.8983383898679,18.6216055852412
173,44.8490147019287,54.5722818973019
174,56.6709159998715,66.3941831952448
175,72.81814780518,82.5414150005532
176,95.2622717368674,104.985538932241
177,61.4761736462832,71.1994408416565
178,45.2354778419663,54.9587450373396
179,43.1154262807247,52.8386934760979
180,83.0907554158464,92.8140226112197
181,44.929110332625,54.6523775279983
182,64.7398065633715,74.4630737587448
183,119.472183172823,129.195450368197
184,37.7546384614793,47.4779056568525
185,61.4412610038877,71.164528199261
186,106.985099237339,116.708366432712
187,73.9731641309673,83.6964313263405
188,8.90324529002532,18.6265124853986
189,100.420930561949,110.144197757323
190,8.91396178781916,18.6372289831924
191,113.021395362215,122.744662557588
192,131.002555764158,140.725822959531
193,138.132036212894,147.855303408268
194,95.6410220002591,105.364289195632
195,8.91427395656665,18.6375411519399
196,40.9012121706783,50.6244793660515
197,40.8262852625938,50.549552457967
198,123.138362224157,132.861629419531
199,71.2622321044148,80.985499299788
200,31.6536174185663,41.3768846139395
201,37.7596151327908,47.4828823281641
202,28.5866801238275,38.3099473192007
203,55.1822338223848,64.905501017758
204,8.91126390336945,18.6345310987427
205,8.90754633582948,18.6308135312027
206,41.3082902738012,51.0315574691744
207,109.525191291251,119.248458486624
208,127.709105198751,137.432372394125
209,35.4889149291194,45.2121821244927
210,70.1631156203381,79.8863828157114
211,62.9456217572249,72.6688889525981
212,57.201366948833,66.9246341442063
213,45.5848121574288,55.3080793528021
214,75.7547965363339,85.4780637317072
215,14.7295990789182,24.4528662742915
216,83.5746881967491,93.2979553921223
217,130.350357892963,140.073625088336
218,59.1848821827562,68.9081493781295
219,23.2118054824771,32.9350726778503
220,89.4796873071564,99.2029545025297
221,41.4249774862676,51.1482446816408
222,124.133059538223,133.856326733596
223,42.5099832247919,52.2332504201651
224,8.90625177396493,18.6295189693382
225,90.4022974091877,100.125564604561
226,60.0903206778987,69.813587873272
227,8.91483387194321,18.6381010673165
228,34.7797650578766,44.5030322532499
229,23.2805023611477,33.003769556521
230,54.548252894589,64.2715200899623
231,8.90513236578359,18.6283995611568
232,8.91068046617164,18.6339476615449
233,8.89830729545134,18.6215744908246
234,8.88864846051241,18.6119156558857
235,41.3879077063457,51.1111749017189
236,73.3294849189447,83.052752114318
237,67.9518043343374,77.6750715297106
238,18.0222193005738,27.745486495947
239,57.0793362900353,66.8026034854085
240,8.89542115648141,18.6186883518547
241,8.90561105729993,18.6288782526732
242,29.5468545459194,39.2701217412926
243,16.1288985124213,25.8521657077946
