"Participant","AIC","BIC"
1,133.54458482968,145.698668823897
2,122.860940098373,135.015024092589
3,10.2127133217516,22.3667973159682
4,10.2095822354169,22.3636662296335
5,158.567115691098,170.721199685315
6,91.1982017569363,103.352285751153
7,16.0874058246405,28.2414898188571
8,79.1717294244645,91.325813418681
9,10.2167383887782,22.3708223829948
10,10.2086561755954,22.362740169812
11,75.2014637446207,87.3555477388373
12,25.6189021692221,37.7729861634387
13,10.2120272903158,22.3661112845324
14,10.2050083180275,22.3590923122441
15,124.054534662389,136.208618656605
16,141.155627979873,153.30971197409
17,119.164811285569,131.318895279785
18,131.568775611444,143.722859605661
19,71.7145440952312,83.8686280894478
20,91.4110039146655,103.565087908882
21,80.5898247653518,92.7439087595684
22,138.260190766195,150.414274760412
23,136.928068144447,149.082152138663
24,138.516488980422,150.670572974639
25,164.128576774011,176.282660768228
26,37.8224682760066,49.9765522702232
27,63.0852303116232,75.2393143058397
28,136.098061065568,148.252145059785
29,129.81560770459,141.969691698806
30,16.0886777903299,28.2427617845465
31,163.287529167178,175.441613161395
32,86.5673170425417,98.7214010367582
33,91.5063938105307,103.660477804747
34,72.1814703139404,84.335554308157
35,111.594089688379,123.748173682595
36,120.483855280608,132.637939274825
37,109.716146653583,121.8702306478
38,54.3644353650127,66.5185193592293
39,10.2029754031688,22.3570593973854
40,163.651767655843,175.80585165006
41,83.2439305273183,95.3980145215348
42,117.975118709502,130.129202703718
43,135.909139180446,148.063223174663
44,10.2102194280242,22.3643034222408
45,97.7333053756312,109.887389369848
46,75.9585782818278,88.1126622760443
47,140.914119318388,153.068203312605
48,10.2033342560848,22.3574182503013
49,76.0957512585612,88.2498352527777
50,49.2412849426251,61.3953689368417
51,41.4332974581968,53.5873814524134
52,82.3650986406246,94.5191826348411
53,140.983329521296,153.137413515513
54,143.838584801498,155.992668795715
55,133.50151376998,145.655597764196
56,125.115620945352,137.269704939568
57,114.802693289408,126.956777283625
58,115.119526537545,127.273610531761
59,94.4417655482856,106.595849542502
60,81.6373551574741,93.7914391516907
61,35.2389518325745,47.3930358267911
62,10.2056960255803,22.3597800197969
63,140.956216759514,153.11030075373
64,121.485936246194,133.640020240411
65,117.635496306812,129.789580301028
66,58.9205025471388,71.0745865413553
67,10.2114122669286,22.3654962611452
68,10.2039918144277,22.3580758086443
69,10.2102705680472,22.3643545622638
70,90.9990223372842,103.153106331501
71,41.2861245595301,53.4402085537467
72,16.8362264067079,28.9903104009245
73,76.1978532982962,88.3519372925127
74,64.6321396561514,76.7862236503679
75,116.193806310207,128.347890304423
76,35.6772485382989,47.8313325325155
77,95.1276014383632,107.28168543258
78,10.2137529257345,22.367836919951
79,16.0813333209935,28.2354173152101
80,75.1863531335965,87.340437127813
81,75.1969501460755,87.351034140292
82,10.2075892014293,22.3616731956459
83,10.2178723555525,22.371956349769
84,16.0767255090163,28.2308095032328
85,10.2109038014139,22.3649877956305
