model,factor,estimate,se,l95,u95,t_value,p_value
k_no_social_z ~ EFA_Factor_1 + EFA_Factor_2 + EFA_Factor_3 +     EFA_Factor_4 + EFA_Factor_5,EFA_Factor_1,-0.37569071539645577,0.07951724820152799,-0.5332439497794869,-0.21813748101342464,-4.724644324264186,6.739022276140239e-06
k_no_social_z ~ EFA_Factor_1 + EFA_Factor_2 + EFA_Factor_3 +     EFA_Factor_4 + EFA_Factor_5,EFA_Factor_2,0.2968403642736387,0.0900562282637282,0.11840549183782073,0.47527523670945665,3.2961669614271045,0.0013133344776015891
k_no_social_z ~ EFA_Factor_1 + EFA_Factor_2 + EFA_Factor_3 +     EFA_Factor_4 + EFA_Factor_5,EFA_Factor_3,0.17435040485902242,0.08521719292494452,0.005503460654660841,0.343197349063384,2.0459533912667416,0.043103227774013125
k_no_social_z ~ EFA_Factor_1 + EFA_Factor_2 + EFA_Factor_3 +     EFA_Factor_4 + EFA_Factor_5,EFA_Factor_4,-0.04840056601847231,0.07946873397648165,-0.20585767568337607,0.10905654364643144,-0.609051681039693,0.5437236133331764
k_no_social_z ~ EFA_Factor_1 + EFA_Factor_2 + EFA_Factor_3 +     EFA_Factor_4 + EFA_Factor_5,EFA_Factor_5,0.003532805705606715,0.08373944118809068,-0.16238616285796814,0.16945177426918157,0.04218807357063121,0.9664238884544158
