model,factor,estimate,se,l95,u95,t_value,p_value
s_z ~ EFA_Factor_1 + EFA_Factor_2 + EFA_Factor_3 + EFA_Factor_4 +     EFA_Factor_5,EFA_Factor_1,-0.10762517059148094,0.0822633647018058,-0.2706194828085293,0.055369141625567414,-1.3083001282722686,0.19345012021701588
s_z ~ EFA_Factor_1 + EFA_Factor_2 + EFA_Factor_3 + EFA_Factor_4 +     EFA_Factor_5,EFA_Factor_2,-0.4994069394182602,0.09316630689422911,-0.6840040339946017,-0.31480984484191865,-5.360381408970439,4.503090377701494e-07
s_z ~ EFA_Factor_1 + EFA_Factor_2 + EFA_Factor_3 + EFA_Factor_4 +     EFA_Factor_5,EFA_Factor_3,-0.10601564904559228,0.08816015617997894,-0.2806936976956957,0.0686623996045111,-1.202534723613254,0.231692554582501
s_z ~ EFA_Factor_1 + EFA_Factor_2 + EFA_Factor_3 + EFA_Factor_4 +     EFA_Factor_5,EFA_Factor_4,-0.034252640894261506,0.08221317504511524,-0.19714750874014486,0.12864222695162186,-0.4166320164069208,0.6777449776101305
s_z ~ EFA_Factor_1 + EFA_Factor_2 + EFA_Factor_3 + EFA_Factor_4 +     EFA_Factor_5,EFA_Factor_5,0.04172188843958233,0.08663137050370098,-0.1299270673605573,0.21337084423972197,0.4816025441707623,0.6310279996531194
