Model,Average BIC,alpha,Expected Frequency,Exceedance Probability
Mazur,81.31987589536762,91.22342273055793,0.36343993119744195,0.04646
Rachlin,81.07626384731662,1.041307989660141,0.004148637409004546,0.0
Meyerson-Green,78.99739085922533,35.31287412501036,0.14068874153390581,0.0
Mazur CW-k,83.830885820895,1.155744813539879,0.004604561010119039,0.0
Meyerson-Green CW-k,80.22244910623789,1.5040655039458855,0.005992292844405918,0.0
Rachlin CW-k,72.56706922089826,115.33002142105629,0.45948215705600115,0.95354
Meyerson-Green CW-k+s,84.58046103377644,1.0404302915126444,0.004145140603636034,0.0
Rachlin CW-k+s,76.61814789641582,4.392133124716868,0.01749853834548553,0.0
