Source,SS,DF1,DF2,MS,F,p_unc,np2,eps
Between,0.004269268515730441,1,241,0.004269268515730441,0.026644668957349165,0.8704726079080897,0.00011054657045881711,
Social,0.49130880061214977,1,241,0.49130880061214977,33.275696224966175,2.442799974476308e-08,0.12132207367608981,1.0
Interaction,0.0062148429916248915,1,241,0.0062148429916248915,0.4209231082722351,0.5170945339535847,0.001743523729645669,
